VCD info: dumpfile tb_round_robin_arbiter.vcd opened for output.
==================================================
Starting Round-Robin Arbiter Testbench (WIDTH = 4)
==================================================
Cycle Check | Time: 1932000 ps | rst_n=1 | req=1111 | uut.ptr=0 | grant_next=0001 | uut.grant=1000 | uut.grant_valid=1
Cycle Check | Time: 1952000 ps | rst_n=1 | req=1111 | uut.ptr=1 | grant_next=0010 | uut.grant=0001 | uut.grant_valid=1
Cycle Check | Time: 1972000 ps | rst_n=1 | req=1000 | uut.ptr=0 | grant_next=1000 | uut.grant=1000 | uut.grant_valid=1
Cycle Check | Time: 1992000 ps | rst_n=1 | req=0111 | uut.ptr=1 | grant_next=0010 | uut.grant=0001 | uut.grant_valid=1
Cycle Check | Time: 2012000 ps | rst_n=1 | req=1111 | uut.ptr=2 | grant_next=0100 | uut.grant=0010 | uut.grant_valid=1
Cycle Check | Time: 2032000 ps | rst_n=1 | req=1100 | uut.ptr=3 | grant_next=1000 | uut.grant=0100 | uut.grant_valid=1
Cycle Check | Time: 2052000 ps | rst_n=1 | req=1011 | uut.ptr=0 | grant_next=0001 | uut.grant=1000 | uut.grant_valid=1
Cycle Check | Time: 2072000 ps | rst_n=1 | req=1001 | uut.ptr=1 | grant_next=1000 | uut.grant=0001 | uut.grant_valid=1
Cycle Check | Time: 2092000 ps | rst_n=1 | req=1001 | uut.ptr=0 | grant_next=0001 | uut.grant=1000 | uut.grant_valid=1
Cycle Check | Time: 2112000 ps | rst_n=1 | req=0000 | uut.ptr=0 | grant_next=0000 | uut.grant=0000 | uut.grant_valid=0
Cycle Check | Time: 2132000 ps | rst_n=1 | req=0111 | uut.ptr=1 | grant_next=0010 | uut.grant=0001 | uut.grant_valid=1
Cycle Check | Time: 2152000 ps | rst_n=1 | req=0001 | uut.ptr=1 | grant_next=0001 | uut.grant=0001 | uut.grant_valid=1
Cycle Check | Time: 2172000 ps | rst_n=1 | req=0110 | uut.ptr=2 | grant_next=0100 | uut.grant=0010 | uut.grant_valid=1
Cycle Check | Time: 2192000 ps | rst_n=1 | req=1100 | uut.ptr=3 | grant_next=1000 | uut.grant=0100 | uut.grant_valid=1
Cycle Check | Time: 2212000 ps | rst_n=1 | req=0010 | uut.ptr=2 | grant_next=0010 | uut.grant=0010 | uut.grant_valid=1
Cycle Check | Time: 2232000 ps | rst_n=1 | req=1000 | uut.ptr=0 | grant_next=1000 | uut.grant=1000 | uut.grant_valid=1
Cycle Check | Time: 2252000 ps | rst_n=1 | req=0111 | uut.ptr=1 | grant_next=0010 | uut.grant=0001 | uut.grant_valid=1
Cycle Check | Time: 2272000 ps | rst_n=1 | req=1101 | uut.ptr=3 | grant_next=1000 | uut.grant=0100 | uut.grant_valid=1
Cycle Check | Time: 2292000 ps | rst_n=1 | req=0010 | uut.ptr=2 | grant_next=0010 | uut.grant=0010 | uut.grant_valid=1
Cycle Check | Time: 2312000 ps | rst_n=1 | req=1110 | uut.ptr=3 | grant_next=1000 | uut.grant=0100 | uut.grant_valid=1
Cycle Check | Time: 2332000 ps | rst_n=1 | req=1101 | uut.ptr=0 | grant_next=0001 | uut.grant=1000 | uut.grant_valid=1
Cycle Check | Time: 2352000 ps | rst_n=1 | req=1001 | uut.ptr=1 | grant_next=1000 | uut.grant=0001 | uut.grant_valid=1
Cycle Check | Time: 2372000 ps | rst_n=1 | req=1111 | uut.ptr=2 | grant_next=0100 | uut.grant=0010 | uut.grant_valid=1
Cycle Check | Time: 2392000 ps | rst_n=1 | req=0011 | uut.ptr=1 | grant_next=0010 | uut.grant=0001 | uut.grant_valid=1
Cycle Check | Time: 2412000 ps | rst_n=1 | req=0101 | uut.ptr=3 | grant_next=0001 | uut.grant=0100 | uut.grant_valid=1
Cycle Check | Time: 2432000 ps | rst_n=1 | req=1000 | uut.ptr=0 | grant_next=1000 | uut.grant=1000 | uut.grant_valid=1
Cycle Check | Time: 2452000 ps | rst_n=1 | req=0000 | uut.ptr=0 | grant_next=0000 | uut.grant=0000 | uut.grant_valid=0
Cycle Check | Time: 2472000 ps | rst_n=1 | req=0000 | uut.ptr=0 | grant_next=0000 | uut.grant=0000 | uut.grant_valid=0
Cycle Check | Time: 2492000 ps | rst_n=1 | req=0000 | uut.ptr=0 | grant_next=0000 | uut.grant=0000 | uut.grant_valid=0
==================================================
Simulation finished. Total Checks: 122
STATUS: PASSED (0 mismatches detected)
==================================================
tb_round_robin_arbiter.v:187: $finish called at 2500000 (1ps)
